Sentence,straightforward,intentional,warm,Additional remarks
"Once you have reserved your car, you have various options.",,1,,
"First, find that perfect car.",1,,,
"When you've found it, we can get you behind the wheel.",,1,,
Select the 'Email me a link to sign in' option.,1,,,
"Then you can decide how long you want it for, and how many miles you need to drive each year.",,1,,
They only have one job.,1,,,
You have contacted us about your credit score.,1,,,
Only franchised trade sellers can sell unregistered cars on Auto Trader.,1,,,
Our payment partner 'Stripe' will manage all reservation payments.,1,,,
Make sure your vehicle is UK registered before you sell on Auto Trader.,1,,,
We are still looking into this for you and will keep you updated in the mean time.,1,,,
Click here to learn more about Dealer Builder and register your interest.,1,,,
Consumers choose to complete as much or as little of the buying process online.,1,,,
"Go to your account, type in your account email address and sign in.",1,,,
Great choice.,,,1,
Boom!,,,1,
it's horn tootin' time.,,,1,
You can also sign in to your account without entering a password.,1,,,
You will still be buying the car from the seller.,1,,,
With just £99 fully you can make the car you've found yours.,1,,,
Deal Builder allows retailers to meet consumer needs.,1,,,
We'll then contact you to secure your deal and confirm your order.,1,,,
"If you're selling a truck, plant or farm vehicle your advert will stay in your account until you delete it.",1,,,
We'll show you options for monthly payments and your initial payment so you can make your choice.,1,,,
"The process will include a hard credit check, which is visible to other companies on your credit file.",1,,,
Buy it.,1,,,
They look at similar information when assessing your score.,1,,,
We'll show you your payment options and help you choose the right way for you.,1,,,
We'll send you a link to your email to create a new password.,,1,,
"Based on your choices, we'll show you what you can expect your monthly payments and your initial payment to be.",,1,,
They use their own methods for working out the final score.,1,,,
We are still looking into this for you and will keep you updated.,1,,,
We are sorry about this!,,1,,
Credit scores are different from one credit reference agency to another.,1,,,
"Then you just need to tell us how long you'd like to drive it for, and how many miles you think you'll drive each year.",1,,,
You can call us or chat online.,1,,,
"Part exchange gives you the info you need to take the next step if you want to, or walk away if you prefer.",1,,,
"Hello, you recently reached out to us about...
Don't worry, we haven't forgotten about you.",,,1,
"We'll ask you a few simple questions about your income and spending, this will include a hard credit check, but that's nothing to worry about.",1,,,
"You recently got in touch about...
We haven't forgotten about this.",1,,,
"Your car, your way.",1,,,
"However you want to get this deal over the line, we can help.",,,1,
"If you see a suspicious advert, head to 'Report Advert' underneath the description.",1,,,
"It's easy to reset your password, just follow these easy instructions:
Go to your account, type in your account email address and sign in
Did you know you can also sign in to your account without entering a password!",1,,,
But this saves the car for you.,1,,,
"If you're not happy with your price, or you simply decide not to go ahead, that's absolutely fine.",,,1,
"Be quick, the link expires within 10 minutes!",,1,,
Got an unregistered car?,1,,,
You can rebook your advert in your account under 'Vehicles you're selling'.,1,,,
If you see a suspicious advert do let us know by choosing 'Report Advert' underneath the description.,1,,,
"If your advert has come to an end, we'll store it in your account for up to 4 weeks.",1,,,
Our expert support team are here to help you get this done.,,,1,
"You are not making a commitment if you get a part exchange valuation, so if you decide not to go ahead, that's OK.",,1,,
You can call us or chat online.,1,,,
